# jobid<TAB>name<TAB>resubmit-command (executed with bash -c; $EX expands to current exclude list)
END12240840	dqlB_inf	sbatch --parsable --job-name=dqlB --qos=embers --account=gts-agarg35 --time=8:00:00 --cpus-per-task=12 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_dql_diffusion_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/square_diff_baselinearch_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_dqlBOUND_inferno_s42 train.n_train_itr=300 train.save_model_freq=25 +train.action_grad_max_norm=0.1
END12240841	dipoFB_inf	sbatch --parsable --job-name=dipoFB --qos=embers --account=gts-agarg35 --time=8:00:00 --cpus-per-task=12 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_dipo_diffusion_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/square_diff_baselinearch_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_dipoFROZENBASE_inferno_s42 train.n_train_itr=300 train.save_model_freq=25 +train.anchor_to_base_radius=0.15 +train.keep_buffer_actions=true
12249076	canCAST_drift	sbatch --parsable --job-name=canCAST_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/can_pre_drifting_mlp_ta4_td1/2026-07-08_22-27-36_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_drift_s42 ++train.auto_resume=true
12249077	canDICE_drift	sbatch --parsable --job-name=canDICE_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/can_pre_drifting_mlp_ta4_td1/2026-07-08_22-27-36_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_drift_s42 model.actor_mode=residual ++train.auto_resume=true
12249079	canCAST_flow	sbatch --parsable --job-name=canCAST_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/can_pre_flow_matching_mlp_ta4_td10/2026-01-07_02-09-59_42/checkpoint/state_3000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_flow_s42 ++train.auto_resume=true
12249080	canDICE_flow	sbatch --parsable --job-name=canDICE_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/can_pre_flow_matching_mlp_ta4_td10/2026-01-07_02-09-59_42/checkpoint/state_3000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_flow_s42 model.actor_mode=residual ++train.auto_resume=true
12250661	diffCAST	sbatch --parsable --job-name=diffCAST --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_distill_residual_diffusion_field_mlp 42 logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_diffCAST_s42 ++train.auto_resume=true
12272794	diffCAST	sbatch --parsable --job-name=diffCAST --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_distill_residual_diffusion_field_mlp 42 logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_diffCAST_s42  ++train.auto_resume=true
12272795	diffDICE	sbatch --parsable --job-name=diffDICE --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_distill_residual_diffusion_field_mlp 42 logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_diffDICE_s42 model.actor_mode=residual ++train.auto_resume=true
12272796	diff64CAST	sbatch --parsable --job-name=diff64CAST --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_distill_residual_diffusion64_field_mlp 42 logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_diff64CAST_s42  ++train.auto_resume=true
DONE12272797	canCAST_drift	sbatch --parsable --job-name=canCAST_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_drift_s42  ++train.auto_resume=true
DONE12272798	canDICE_drift	sbatch --parsable --job-name=canDICE_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_drift_s42 model.actor_mode=residual ++train.auto_resume=true
DONE12272799	canCAST_flow	sbatch --parsable --job-name=canCAST_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_flow_s42  ++train.auto_resume=true
DONE12272800	canDICE_flow	sbatch --parsable --job-name=canDICE_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_flow_s42 model.actor_mode=residual ++train.auto_resume=true
12272804	qsmB	sbatch --parsable --job-name=qsmB --qos=embers --account=gts-agarg35 --time=8:00:00 --cpus-per-task=12 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_qsm_diffusion_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/square_diff_baselinearch_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_qsmBOUND_inferno_s42 train.n_train_itr=300 train.save_model_freq=25 +train.target_max_norm=0.8
12272805	dqlB	sbatch --parsable --job-name=dqlB --qos=embers --account=gts-agarg35 --time=8:00:00 --cpus-per-task=12 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_dql_diffusion_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/square_diff_baselinearch_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_dqlBOUND_inferno_s42 train.n_train_itr=300 train.save_model_freq=25 +train.action_grad_max_norm=0.1
12272806	dipoFB	sbatch --parsable --job-name=dipoFB --qos=embers --account=gts-agarg35 --time=8:00:00 --cpus-per-task=12 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune square ft_dipo_diffusion_mlp 42 base_policy_path=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-pretrain/square_diff_baselinearch_42/checkpoint/state_8000.pt logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_dipoFROZENBASE_inferno_s42 train.n_train_itr=300 train.save_model_freq=25 +train.anchor_to_base_radius=0.15 +train.keep_buffer_actions=true
12279196	canCAST_drift	sbatch --parsable --job-name=canCAST_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_drift_s42  ++train.auto_resume=true
12279197	canDICE_drift	sbatch --parsable --job-name=canDICE_drift --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_drift_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_drift_s42 model.actor_mode=residual ++train.auto_resume=true
12279198	canCAST_flow	sbatch --parsable --job-name=canCAST_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_CAST_flow_s42  ++train.auto_resume=true
12279199	canDICE_flow	sbatch --parsable --job-name=canDICE_flow --qos=embers --account=gts-agarg35 --time=8:00:00 --exclude=__EX__ /storage/home/hcoda1/8/lwang831/workspace/dice_rl_official/scripts/dice_rl_generic.sbatch finetune can ft_distill_residual_flow_field_mlp 42 base_policy_path= logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/can_DICE_flow_s42 model.actor_mode=residual ++train.auto_resume=true
pe_fmB_t8	powered_eval_one.sbatch
pe_fmB_t81	powered_eval_one.sbatch
fmB_mt_s10000	field_hard8_drift.sbatch
fmB_mt_s10001	field_hard8_drift.sbatch
fmB_mt_s10002	field_hard8_drift.sbatch
12291251	FMdice	sbatch ... ft_distill_residual_flow_field_mlp 42 model.actor_mode=residual logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_FMdice_s42
12319990	FMporygon	sbatch ... ft_distill_residual_flow_field_mlp 42 logdir=/storage/cedar/cedar0/cedarp-agarg35-0/liquan.w/imitation_scratch/dice_rl_official/log_dir/robomimic-finetune/square_FMporygon_s42 (FM+CAST arm of the table-1 FM pair)
12323154	sq_fact_full	square factorial 4th cell: clip 0.05 + anchor, matched to sq_fact_none/clip/anc
12323454	sqbase32_s43	retrain of the 0.279 baseline-architecture square base (time_dim 32), seed 43
12323455	sqbase32_s44	retrain of the 0.279 baseline-architecture square base (time_dim 32), seed 44
12323649	FMdice	FM+DICE-RL control, partner of FMporygon for table 1's FM pair
12324124	fmB2_t8	FM base CAST at eta_Q=2, symmetry for table 3
12324125	fmB2_t21	FM base CAST at eta_Q=2, symmetry for table 3
12324126	fmB2_t32	FM base CAST at eta_Q=2, symmetry for table 3
12324127	fmB2_t53	FM base CAST at eta_Q=2, symmetry for table 3
12324132	fmB2_t65	FM base CAST at eta_Q=2, symmetry for table 3
12324133	fmB2_t73	FM base CAST at eta_Q=2, symmetry for table 3
12324134	fmB2_t75	FM base CAST at eta_Q=2, symmetry for table 3
12324135	fmB2_t81	FM base CAST at eta_Q=2, symmetry for table 3
